"NBNORG0000007914","NBNSYS0000166642"
"NBNORG0000007923","NBNSYS0000170084"
"NBNORG0000007918","NBNSYS0000167754"
"NBNORG0000007813","NBNSYS0000166808"
"NBNORG0000007820","NBNSYS0000172061"
"NBNORG0000007809","NBNSYS0000167563"
"NBNORG0000007810","NBNSYS0000170569"
"NBNORG0000007821","NBNSYS0000165146"
"NBNORG0000007832","NBNSYS0000171950"
"NBNORG0000007830","NHMSYS0000841586"
"NBNORG0000007845","NBNSYS0000171414"
"NBNORG0000007846","NBNSYS0000169019"
"NBNORG0000007848","NBNSYS0000165497"
"NBNORG0000007843","NBNSYS0000167595"
"NBNORG0000007773","NHMSYS0000841501"
"NBNORG0000007778","NBNSYS0000003221"
"NBNORG0000007783","NBNSYS0000165147"
"NBNORG0000007802","NBNSYS0000168452"
"NBNORG0000007803","NBNSYS0000170605"
"NBNORG0000007790","NBNSYS0000168171"
"NBNORG0000007792","NBNSYS0000171463"
"NBNORG0000007789","NBNSYS0000167619"
"NBNORG0000007793","NHMSYS0000841927"
"NBNORG0000007764","NBNSYS0000169112"
"NBNORG0000007770","NHMSYS0000841614"
"NBNORG0000007771","NBNSYS0000166652"
"NBNORG0000007995","NBNSYS0000164769"
"NBNORG0000007983","NBNSYS0000170987"
"NBNORG0000007986","NBNSYS0000170027"
"NBNORG0000007987","NBNSYS0000166024"
"NBNORG0000007991","NBNSYS0000166748"
"NBNORG0000007759","NBNSYS0000170915"
"NBNORG0000008088","NBNSYS0000171320"
"NBNORG0000007723","NBNSYS0000166976"
"NBNORG0000007724","NBNSYS0000169452"
"NBNORG0000007725","NBNSYS0000166803"
"NBNORG0000007726","NBNSYS0000164722"
"NBNORG0000007742","NHMSYS0000841821"
"NBNORG0000007744","NBNSYS0000171517"
"NBNORG0000007746","NBNSYS0000169549"
"NBNORG0000007750","NBNSYS0000169336"
"NBNORG0000007730","NBNSYS0000168172"
"NBNORG0000007731","NBNSYS0000166624"
"NBNORG0000007751","NBNSYS0000171346"
"NBNORG0000007752","NBNSYS0000169246"
"NBNORG0000007754","NBNSYS0000167974"
"NBNORG0000008011","NBNSYS0000168729"
"NBNORG0000008012","NBNSYS0000170194"
"NBNORG0000008013","NBNSYS0000130645"
"NBNORG0000008015","NBNSYS0000166901"
"NBNORG0000008018","NBNSYS0000166253"
"NBNORG0000008049","NBNSYS0000167356"
"NBNORG0000008052","NBNSYS0000167538"
"NBNORG0000008056","NBNSYS0000166204"
"NBNORG0000008062","NBNSYS0000170901"
"NBNORG0000008033","NBNSYS0100001256"
"NBNORG0000008038","NBNSYS0000165767"
"NBNORG0000008064","NBNSYS0000170304"
"NBNORG0000008067","NBNSYS0000167779"
"NBNORG0000008070","NHMSYS0000841645"
"NBNORG0000008023","NBNSYS0000171510"
"NBNORG0000008024","NBNSYS0000170636"
"NBNORG0000008224","NBNSYS0000172033"
"NBNORG0000008226","NBNSYS0000168391"
"NBNORG0000008264","NBNSYS0000166601"
"NBNORG0000008267","NBNSYS0000168077"
"NBNORG0000008268","NHMSYS0000841443"
"NBNORG0000008263","NBNSYS0000166520"
"NBNORG0000008254","NBNSYS0000169687"
"NBNORG0000008256","NBNSYS0000166907"
"NBNORG0000008259","NBNSYS0100001223"
"NBNORG0000008248","NBNSYS0000168613"
"NBNORG0000008241","NBNSYS0000171756"
"NBNORG0000008247","NHMSYS0000841405"
"NBNORG0000008249","NBNSYS0000171633"
"NBNORG0000008251","NHMSYS0000841578"
"NBNORG0000008234","NBNSYS0000167847"
"NBNORG0000008401","NBNSYS0000168497"
"NBNORG0000008397","NBNSYS0000164847"
"NBNORG0000055006","NBNSYS0000172025"
"NBNORG0000008406","NBNSYS0000167722"
"NBNORG0000008413","NBNSYS0000165500"
"NBNORG0000008429","NBNSYS0000169734"
"NBNORG0000008417","NBNSYS0000165745"
"NBNORG0000008389","NBNSYS0000164979"
"NBNORG0000008381","NBNSYS0000168267"
"NBNORG0000008382","NBNSYS0000165441"
"NBNORG0000008378","NBNSYS0000170078"
"NBNORG0000008391","NBNSYS0000168778"
"NBNORG0000008393","NBNSYS0000171869"
"NBNORG0000008430","NHMSYS0000841622"
"NBNORG0000008282","NBNSYS0000171460"
"NBNORG0000008277","NBNSYS0000166475"
"NBNORG0000008276","NBNSYS0000167352"
"NBNORG0000008295","NBNSYS0000171631"
"NBNORG0000008296","NBNSYS0000167447"
"NBNORG0000008301","NHMSYS0000841450"
"NBNORG0000008303","NHMSYS0000841762"
"NBNORG0000008285","NBNSYS0000171686"
"NBNORG0000008288","NBNSYS0000170184"
"NBNORG0000008313","NBNSYS0000167680"
"NBNORG0000008315","NBNSYS0000167175"
"NBNORG0000008310","NBNSYS0000165330"
